39.25,553.13,109.55
41.45,239.67,48.44
17.86,486.04,108.33
23.79,409.78,60.28
79.05,751.76,14.65
80.78,597.52,45.83
67.3,508.16,47.82
47.71,403.09,101.25
88.61,699.56,70.19
30.46,325.24,56.71
89.49,745.45,96.2
66.47,620.35,73.08
56.91,340.55,84.18
46.09,865.2,77.69
68.11,853.48,108.84
26.98,293.58,47.73
48.02,851.25,87.33
13.06,178.66,58.59
18.43,414.82,54.01
104.56,336.75,106.04
174.4,407.32,37.02
53.05,265.11,74.86
46.42,450.16,102.27
35.15,685.69,79.1
37.71,170.52,141.52
30.46,708.43,82.03
65.72,1015.47,73.34
29.57,23.39,84.26
74.18,491.91,43.17
32.46,120.18,72.15
64.65,651.75,85.35
40.97,611.57,94.33
33.78,28.01,53.27
83.66,493.92,65.28
51.66,265.93,108.98
22.21,691.49,60.79
58.54,533.04,63.92
82.22,481.87,45.97
53.33,103.52,51.16
82.83,559.65,2.56
37.08,581.5,101.38
57.72,342.13,40.48
5.14,629.66,77.33
113.54,592.27,93.81
114.77,489.33,36.83
94.9,524.1,111.63
69.43,907.64,49.58
54.61,486.83,64.97
49.89,68.09,55.35
38.1,813.75,57.34
40.29,253.87,0.49
59.55,526.15,55.1
90.95,21.89,96.91
37.86,760.64,24.65
63.52,473.06,68.32
21.99,351.4,119.32
31.01,637.23,16.22
40.85,482.05,87.33
52.74,195.08,21.62
46.51,514.64,71.54
73.07,416.52,85.27
39.56,222.3,71.86
54.18,192.98,101.05
30.47,520.22,74.88
86.87,294.81,99.09
27.57,402.92,74.45
42.49,116.51,117.54
66.6,2.55,13.59
52.93,624.96,92.68
64.05,139.76,63.23
53.41,495.11,51.46
23.5,633,35.66
43.52,468.99,124.36
